mid_x_bin_left,mid_x_bin_center,n_total,n_success,pdr_band,pdr_phy_band,late_ratio_phy_band,nlos_ratio_band,avg_cbr_band
-20.0,-10.0,21,2,0.09523809523809523,0.09523809523809523,0.0,0.0,0.25339393939393934
0.0,10.0,167,6,0.03592814371257485,0.03592814371257485,0.0,0.0,0.2512819814915623
20.0,30.0,165,9,0.05454545454545454,0.06060606060606061,0.1,0.0,0.2521487603305784
40.0,50.0,4220,896,0.2123222748815166,0.21658767772511847,0.019693654266958426,0.0,0.165541835415769
60.0,70.0,7252,1160,0.15995587424158852,0.16395477109762824,0.024390243902439025,0.0,0.1851045730331444
80.0,90.0,5483,866,0.15794273208097756,0.16122560641984315,0.020361990950226245,0.0,0.1896360817734153
100.0,110.0,4393,585,0.1331664010926474,0.13680855907124972,0.026622296173044926,0.0,0.21134739151128856
120.0,130.0,3835,435,0.11342894393741851,0.11734028683181226,0.03333333333333333,0.0,0.2228846983524949
140.0,150.0,3429,472,0.13764946048410615,0.14173228346456693,0.02880658436213992,0.0,0.2063592884222805
160.0,170.0,2876,303,0.10535465924895689,0.11022253129346314,0.04416403785488959,0.0,0.2261928815273738
180.0,190.0,2111,174,0.08242539081004263,0.0876361913784936,0.05945945945945946,0.0,0.24454541148098694
200.0,210.0,2198,175,0.07961783439490445,0.08416742493175614,0.05405405405405406,0.0,0.2500366862436926
220.0,230.0,1958,185,0.09448416751787539,0.0975485188968335,0.031413612565445025,0.0,0.24105757266227126
240.0,250.0,1870,156,0.08342245989304813,0.0893048128342246,0.0658682634730539,0.0,0.24575989304812826
260.0,270.0,1747,178,0.10188895248998282,0.10761305094447625,0.05319148936170213,0.0,0.2411062600822188
280.0,290.0,1768,170,0.09615384615384616,0.10067873303167421,0.0449438202247191,0.0,0.24219930069930062
300.0,310.0,1675,148,0.08835820895522388,0.09492537313432836,0.06918238993710692,0.0,0.2395354681139755
320.0,330.0,1424,122,0.08567415730337079,0.09129213483146068,0.06153846153846154,0.0,0.24689894024514805
340.0,350.0,1314,101,0.07686453576864535,0.08904109589041095,0.13675213675213677,0.0,0.24633437110834364
360.0,370.0,1256,100,0.07961783439490445,0.08439490445859872,0.05660377358490566,0.4028662420382166,0.2376222495657208
380.0,390.0,1437,147,0.1022964509394572,0.10925539318023661,0.06369426751592357,1.0,0.23412810780034157
400.0,410.0,1108,160,0.1444043321299639,0.14891696750902528,0.030303030303030304,1.0,0.22476690187069243
420.0,430.0,1350,168,0.12444444444444444,0.1325925925925926,0.061452513966480445,1.0,0.2229866666666666
440.0,450.0,1076,153,0.1421933085501859,0.14869888475836432,0.04375,1.0,0.22136008786752276
460.0,470.0,941,158,0.16790648246546228,0.17321997874601489,0.03067484662576687,1.0,0.2075614916433194
480.0,490.0,1107,173,0.15627822944896116,0.16169828364950317,0.0335195530726257,1.0,0.21674804960170807
500.0,510.0,1026,164,0.15984405458089668,0.17348927875243664,0.07865168539325842,1.0,0.20860845295055816
520.0,530.0,1000,116,0.116,0.125,0.072,0.556,0.2087418181818181
540.0,550.0,841,92,0.10939357907253269,0.11533888228299644,0.05154639175257732,0.5838287752675386,0.21435920441033396
560.0,570.0,966,148,0.15320910973084886,0.15942028985507245,0.03896103896103896,1.0,0.21183512140033872
580.0,590.0,723,127,0.17565698478561548,0.1839557399723375,0.045112781954887216,1.0,0.211194769269458
600.0,610.0,765,111,0.1450980392156863,0.14640522875816994,0.008928571428571428,1.0,0.2139278669043374
620.0,630.0,758,120,0.158311345646438,0.16358839050131926,0.03225806451612903,1.0,0.21229851283281356
640.0,650.0,803,145,0.18057285180572852,0.18679950186799502,0.03333333333333333,1.0,0.20820502660477747
660.0,670.0,670,75,0.11194029850746269,0.11791044776119403,0.05063291139240506,1.0,0.22087896879240154
680.0,690.0,678,77,0.11356932153392331,0.11799410029498525,0.0375,0.8480825958702065,0.2178484848484848
700.0,710.0,664,54,0.08132530120481928,0.08433734939759036,0.03571428571428571,0.0030120481927710845,0.27826095290251907
720.0,730.0,727,52,0.07152682255845942,0.07702888583218707,0.07142857142857142,0.0,0.30494597974240334
740.0,750.0,739,55,0.07442489851150202,0.07848443843031123,0.05172413793103448,0.0,0.2880394882519374
760.0,770.0,676,51,0.07544378698224852,0.08136094674556213,0.07272727272727272,0.0,0.2828343195266272
780.0,790.0,603,45,0.07462686567164178,0.07628524046434494,0.021739130434782608,0.0,0.31884637418965767
800.0,810.0,691,16,0.023154848046309694,0.02604920405209841,0.1111111111111111,0.0,0.3951209051440599
820.0,830.0,599,16,0.02671118530884808,0.0333889816360601,0.2,0.008347245409015025,0.4174431628471694
840.0,850.0,616,17,0.027597402597402596,0.03409090909090909,0.19047619047619047,0.8295454545454546,0.4058060802833529
860.0,870.0,487,17,0.03490759753593429,0.04106776180698152,0.15,1.0,0.42350214672391256
880.0,890.0,465,7,0.015053763440860216,0.021505376344086023,0.3,1.0,0.42255151515151507
900.0,910.0,605,17,0.02809917355371901,0.03636363636363636,0.22727272727272727,1.0,0.3971555221637865
920.0,930.0,567,14,0.024691358024691357,0.031746031746031744,0.2222222222222222,1.0,0.42205146705146696
940.0,950.0,16865,1066,0.0632078268603617,0.06973021049510822,0.0935374149659864,1.0,0.3776252108993881
960.0,970.0,1448,65,0.04488950276243094,0.05386740331491713,0.16666666666666666,0.9261049723756906,0.4011684455047714
980.0,990.0,1526,35,0.022935779816513763,0.02817824377457405,0.18604651162790697,0.3505897771952818,0.4451470272846419
1000.0,1010.0,9594,1705,0.17771523869084846,0.18105065666041276,0.018422567645365574,0.00010423181154888472,0.25030805238122306
