dist_bin_left,dist_bin_center,n_total,n_success,pdr,n_success_phy,pdr_phy,n_late,late_ratio_phy,delay_p50_ms,delay_p95_ms,delay_p99_ms,nlos_ratio,tunnel_ratio,avg_blockage_b,avg_n_cs,avg_cbr,avg_p_col,avg_cong_delay_ms
0,5.0,822909,104737,0.12727652753828186,117120,0.14232436393331463,12383,0.10572916666666667,22.968888307552326,76.5368201142918,93.74263763522461,0.0,0.0,0.0,40.59613031331532,0.4067602477640573,0.9029046137826344,176.69585646524106
10,15.0,219300,44244,0.20175102599179207,46907,0.21389420884632923,2663,0.05677191037585009,27.405351315372684,72.85495490891438,91.97668479446763,0.0,0.0,0.0,34.237624259005926,0.3414410492061517,0.8525397354017583,134.61314108950273
20,25.0,163700,36119,0.22064141722663408,37875,0.23136835675015271,1756,0.04636303630363036,30.070029088826445,73.98555049818194,92.36588173362743,0.0,0.0,0.0,30.75038485033598,0.30561758982617854,0.8346108214598394,111.3004287759934
30,35.0,154703,32226,0.2083088240047058,33688,0.21775919019023549,1462,0.04339824269769651,30.274952314733543,74.20501151749194,92.43374845148594,0.0,0.0,0.0,30.321945922186384,0.3012163535642783,0.8302136414391341,109.49411081122322
40,45.0,154296,28007,0.1815147508684606,29295,0.1898623425104993,1288,0.04396654719235364,30.62511969106525,74.83502055509098,92.80605797354256,0.0,0.0,0.0,30.489805309275678,0.3029407272680137,0.8360601823701984,108.60114613146708
50,55.0,146506,23154,0.15804130888837317,24268,0.1656450930337324,1114,0.045904071204878855,30.13966383750839,74.88763218214082,92.61507233770631,0.0,0.0,0.0,29.91752556209302,0.29706185350150094,0.832342995268579,102.8528170689807
60,65.0,141351,18105,0.12808540441878727,18894,0.13366725385741876,789,0.04175928866306764,31.89534756237957,75.35977147536401,92.95843379311616,0.0,0.0,0.0,30.136482939632547,0.299311142925316,0.8366765155192882,104.47976115233985
70,75.0,146979,13866,0.09434000775621007,14594,0.09929309629266767,728,0.049883513772783335,31.87764630306965,74.12362393141746,91.79678160749005,0.0,0.0,0.0,30.325373012471168,0.30125155912811286,0.8414982136170313,104.64874235826335
80,85.0,142494,10375,0.07281008323157466,10860,0.07621373531517117,485,0.04465930018416206,31.156659500666887,74.88661879763214,92.20213206387236,0.0,0.0,0.0,30.53729981613261,0.30342862538390764,0.838563663023256,107.93959338179145
90,95.0,140686,7066,0.05022532448146937,7401,0.05260651379668197,335,0.04526415349277125,31.86067112185757,73.28104517676793,91.58589816195466,0.0,0.0,0.0,30.63195342820181,0.3044009761260731,0.840206593911498,107.64768591680983
