dist_bin_left,dist_bin_center,n_total,n_success,pdr,n_success_phy,pdr_phy,n_late,late_ratio_phy,delay_p50_ms,delay_p95_ms,delay_p99_ms,nlos_ratio,tunnel_ratio,avg_blockage_b,avg_n_cs,avg_cbr,avg_p_col,avg_cong_delay_ms
0,5.0,821676,118566,0.14429775239875572,135386,0.16476810811073953,16820,0.12423736575421387,28.72912257922099,80.51506908519674,95.01429348887805,0.0,0.9217806045205166,0.5560361985867747,40.538551691907756,0.40616875828959775,0.9028425171754694,175.62863155017436
10,15.0,221072,53143,0.24038774697836,57063,0.2581195266700442,3920,0.06869600266372256,32.741718074316175,77.88517357949385,93.87934994166977,0.0,0.6982023955996236,0.38706043938437557,34.295962401389595,0.3420403410324567,0.8528507151210509,134.8085044233313
20,25.0,161247,43527,0.26993990585871364,46031,0.2854688769403462,2504,0.05439812300406248,35.221738298693936,79.00373561148837,93.79026329117734,0.0,0.5882652080348781,0.31705297710022595,30.663931732063233,0.30472948052028587,0.8334209929824231,111.20811286664608
30,35.0,153926,39514,0.2567077686680613,41710,0.2709743643049257,2196,0.05264924478542316,35.435918579965225,78.74795155567837,93.96064281774973,0.0,0.5630043007679014,0.3010709510677673,30.049991554383276,0.29842264051320994,0.8284992228440237,106.15923985005652
40,45.0,154337,33953,0.21999261356641636,35872,0.23242644343222948,1919,0.05349576271186441,36.15858420741517,79.87505418419795,94.77552536392064,0.0,0.5765888931364481,0.30747505630241584,30.34615160330964,0.30146501192490804,0.8361612240830507,106.86855934454873
50,55.0,146986,28004,0.19052154626971277,29425,0.20018913365898794,1421,0.048292268479184365,35.80743943801815,79.16261387261636,93.69281865771367,0.0,0.57878301334821,0.30828447373229734,29.997067747948783,0.29787896868347374,0.8336962732631954,102.9505545406321
60,65.0,142133,21584,0.1518577670210296,22700,0.159709567799174,1116,0.049162995594713654,37.405515129708355,79.43201544380273,93.76467174092738,0.0,0.6029704572477891,0.32051059881097294,30.410924978717116,0.30213041114500316,0.8384260665753595,106.66845353935408
70,75.0,147544,17028,0.11540964051401616,17956,0.12169928970341051,928,0.051681889062151924,37.939524562738924,79.79470819122923,94.0368465890172,0.0,0.5986146505449222,0.3149197119949675,30.334286721249253,0.3013431272273786,0.8415735760140094,105.50628889117681
80,85.0,143693,12374,0.0861141461309876,13032,0.09069335319048248,658,0.05049109883364027,36.44105297676368,79.28894243759713,94.72241904656607,0.0,0.6160982093769356,0.3226562377184141,30.56464824312945,0.3037095683157842,0.8391712115212867,108.33397679783636
90,95.0,140993,8653,0.061371841155234655,9111,0.06462022937308945,458,0.05026890571836242,37.1133597653525,77.82997286682148,93.29570309370949,0.0,0.6249104565474882,0.32938416456521524,30.657812799216984,0.30466662239195624,0.840911873159461,108.08912528735583
