dist_bin_left,dist_bin_center,n_total,n_success,pdr,n_success_phy,pdr_phy,n_late,late_ratio_phy,delay_p50_ms,delay_p95_ms,delay_p99_ms,nlos_ratio,tunnel_ratio,avg_blockage_b,avg_n_cs,avg_cbr,avg_p_col,avg_cong_delay_ms
0,5.0,818656,65962,0.08057352538795294,71816,0.08772427002306218,5854,0.08151386877576028,16.429793763921452,71.45538745112174,92.1956820859422,0.020758413790407694,0.0,0.020901152048445573,40.637146738068246,0.4071815983092465,0.9033749133726189,176.049574027161
10,15.0,219773,26865,0.12223976557629918,28115,0.1279274524168119,1250,0.04446025253423439,21.303027792882265,65.88321145796118,89.24600507473487,0.07086857803278837,0.0,0.07192734156169817,34.13858845263067,0.340423681377024,0.8514598880949756,133.17334375438588
20,25.0,162898,20879,0.1281722304755123,21647,0.132886837161905,768,0.03547835727814478,23.883471199120017,68.09271906366504,89.3360987782064,0.07994573291262017,0.0,0.08254945171972265,30.762446438875862,0.3057414952357247,0.8340157418971154,111.9828823382818
30,35.0,154308,18770,0.12163983720869949,19439,0.12597532208310652,669,0.03441535058387777,23.741273667344128,68.40800211038216,89.69423630828919,0.08019026881302331,0.0,0.08782870704720465,30.242307592606995,0.3003982507240536,0.8301338021971485,108.27947988724864
40,45.0,155163,15556,0.10025585996661575,16146,0.10405831287098084,590,0.03654155828068872,24.61967184304486,69.59391326944748,90.68905793759811,0.09854797857736702,0.0,0.11863906697841073,30.30953255608618,0.3010888344397943,0.8368695080672035,106.36274108762001
50,55.0,147374,12576,0.08533391235903212,13004,0.08823808812952082,428,0.03291294986158105,23.94980039732367,69.95841402267604,89.85816628497469,0.15445058151369984,0.0,0.13921599079530195,30.152116384165456,0.29947174103733604,0.8342293878269503,105.07324788981315
60,65.0,142126,9566,0.06730647453667872,9953,0.070029410523057,387,0.03888274891992364,25.436396439433963,69.76306090759502,90.48993368888199,0.1762661300536144,0.0,0.17588685569900064,30.35684533442157,0.3015748657081487,0.837903721865655,105.87001912047043
70,75.0,146472,7500,0.051204325741438635,7817,0.053368561909443446,317,0.040552641678393245,26.11167865707466,72.51348853617066,92.25410030121952,0.19021382926429625,0.0,0.1916879518787026,30.23771778906549,0.3003511009240363,0.8405189566964048,104.07165042478562
80,85.0,142965,5507,0.03851991746231595,5740,0.040149686986325324,233,0.04059233449477352,25.850617532464973,70.95150266177045,91.86818072032801,0.19358584268876997,0.0,0.19511472762909834,30.538334557409158,0.30343925499883945,0.8394774985758983,106.8145191002723
90,95.0,140736,4051,0.028784390632105503,4218,0.029971009549795362,167,0.03959222380275012,26.08593258263398,69.17078724301152,88.7421979206616,0.21201398362892224,0.0,0.2135012278469594,30.788462085038653,0.3060087468735788,0.8411678210594753,108.65628280487543
100,105.0,141882,3134,0.02208877799861857,3259,0.022969791798818737,125,0.03835532371893219,26.306954467022848,68.89754085473308,89.95117528485353,0.22501797268152407,0.0,0.22756582178123416,30.789501134745773,0.30601942074784283,0.8446447893884345,108.3005866722702
110,115.0,143378,2581,0.018001367015860175,2708,0.01888713749668708,127,0.04689807976366322,29.01720142567576,73.626287594907,91.47179902137155,0.2404692491177168,0.0,0.2481609990970039,30.526677732985533,0.3033195076206695,0.8444836396780216,105.83953974179188
120,125.0,146499,2278,0.01554959419518222,2387,0.01629362657765582,109,0.04566401340594889,27.929254055126307,73.6140343284582,92.27611405197183,0.25899152895241606,0.0,0.28224293734512684,30.630700550857004,0.3043881056588037,0.8439243710590468,105.66859229549472
130,135.0,147780,2274,0.015387738530247665,2388,0.01615915550142103,114,0.04773869346733668,28.47175740362239,73.07051582905876,94.46043672819174,0.3351400730816078,0.0,0.3217483440014735,30.626370280146162,0.3043436219687742,0.8438215625848239,105.22927477321088
140,145.0,142441,2081,0.014609557641409426,2195,0.015409889006676449,114,0.05193621867881549,29.36409589095204,76.11806431077734,94.98104348493449,0.37406364740489045,0.0,0.37044158618217926,30.70705063850998,0.30517242928651156,0.8447702525829589,106.8028401272453
