dist_bin_left,dist_bin_center,n_total,n_success,pdr,n_success_phy,pdr_phy,n_late,late_ratio_phy,delay_p50_ms,delay_p95_ms,delay_p99_ms,nlos_ratio,tunnel_ratio,avg_blockage_b,avg_n_cs,avg_cbr,avg_p_col,avg_cong_delay_ms
0,5.0,817534,817198,0.9995890079189367,817198,0.9995890079189367,0,0.0,1.091088517040249,10.996279186313068,11.391175966867777,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10,15.0,220145,219797,0.9984192236934748,219797,0.9984192236934748,0,0.0,1.3216964518300156,11.361886600617941,21.09422337562796,0.0,0.0,0.0,1.0,0.0,0.0,0.0
20,25.0,161920,161066,0.994725790513834,161066,0.994725790513834,0,0.0,1.5496544393544391,11.69850495395705,21.567260836460648,0.0,0.0,0.0,1.0,0.0,0.0,0.0
30,35.0,155071,152757,0.9850778030708515,152757,0.9850778030708515,0,0.0,1.7778956129534855,12.114664266841821,21.86617703035912,0.0,0.0,0.0,1.0,0.0,0.0,0.0
40,45.0,155117,149060,0.9609520555451692,149060,0.9609520555451692,0,0.0,2.023161135325163,21.83532154454764,22.142645912786207,0.0,0.0,0.0,1.0,0.0,0.0,0.0
50,55.0,147888,134649,0.9104795520934762,134649,0.9104795520934762,0,0.0,2.284243372108028,22.148526916574678,22.38695834280186,0.0,0.0,0.0,1.0,0.0,0.0,0.0
60,65.0,142340,117493,0.8254390895040045,117493,0.8254390895040045,0,0.0,2.593160538698436,22.40488460123349,22.623495911314034,0.0,0.0,0.0,1.0,0.0,0.0,0.0
70,75.0,145737,103062,0.7071779987237283,103062,0.7071779987237283,0,0.0,12.192815600142392,22.645128175612047,22.84649952291061,0.0,0.0,0.0,1.0,0.0,0.0,0.0
80,85.0,142843,81590,0.5711865474681993,81590,0.5711865474681993,0,0.0,12.528934493144597,22.869772677194707,23.065290174899104,0.0,0.0,0.0,1.0,0.0,0.0,0.0
90,95.0,141036,61039,0.43279020959187725,61039,0.43279020959187725,0,0.0,12.789138942678012,23.086566314433774,23.27266048215103,0.0,0.0,0.0,1.0,0.0,0.0,0.0
100,105.0,142803,44367,0.3106867502783555,44367,0.3106867502783555,0,0.0,13.028643756531723,23.298022727280923,23.481368202815197,0.0,0.0,0.0,1.0,0.0,0.0,0.0
110,115.0,143577,30909,0.21527821308426837,30909,0.21527821308426837,0,0.0,13.248163103083463,23.494922889583133,23.672753571592725,0.0,0.0,0.0,1.0,0.0,0.0,0.0
120,125.0,145835,21386,0.14664518119792916,21386,0.14664518119792916,0,0.0,13.465899440030757,23.703978206785102,23.872853009481517,0.0,0.0,0.0,1.0,0.0,0.0,0.0
130,135.0,147300,14262,0.09682281059063136,14262,0.09682281059063136,0,0.0,13.682154337843812,23.904995204689698,24.09236367443052,0.0,0.0,0.0,1.0,0.0,0.0,0.0
140,145.0,142904,9031,0.06319627162290768,9031,0.06319627162290768,0,0.0,13.883641702531134,24.1044508760843,24.277468027582774,0.0,0.0,0.0,1.0,0.0,0.0,0.0
150,155.0,143022,5854,0.04093076589615584,5854,0.04093076589615584,0,0.0,14.081197379457945,24.313302621154495,24.492686156619655,0.0,0.0,0.0,1.0,0.0,0.0,0.0
160,165.0,146046,3760,0.02574531312052367,3760,0.02574531312052367,0,0.0,14.294113669454976,24.506274261919636,24.670141700813748,0.0,0.0,0.0,1.0,0.0,0.0,0.0
170,175.0,143105,2387,0.0166800600957339,2387,0.0166800600957339,0,0.0,14.497768673468586,24.709224765677178,24.870048476303122,0.0,0.0,0.0,1.0,0.0,0.0,0.0
180,185.0,141051,1549,0.010981843446696586,1549,0.010981843446696586,0,0.0,14.66960384411945,24.91148576874567,25.076821534891298,0.0,0.0,0.0,1.0,0.0,0.0,0.0
190,195.0,140865,1005,0.007134490469598552,1005,0.007134490469598552,0,0.0,14.949570653643883,25.090298978562384,25.30439061957363,0.0,0.0,0.0,1.0,0.0,0.0,0.0
200,205.0,136469,628,0.004601777693102463,628,0.004601777693102463,0,0.0,15.04614951754557,25.29529066974772,25.4629850600512,0.0,0.0,0.0,1.0,0.0,0.0,0.0
210,215.0,141702,410,0.0028933960000564565,410,0.0028933960000564565,0,0.0,15.261729721515813,25.512427466517916,25.681466175174343,0.0,0.0,0.0,1.0,0.0,0.0,0.0
