dist_bin_left,dist_bin_center,n_total,n_success,pdr,n_success_phy,pdr_phy,n_late,late_ratio_phy,delay_p50_ms,delay_p95_ms,delay_p99_ms,nlos_ratio,tunnel_ratio,avg_blockage_b,avg_n_cs,avg_cbr,avg_p_col,avg_cong_delay_ms
0,5.0,822646,816892,0.9930054968965996,816892,0.9930054968965996,0,0.0,1.0904757399948393,10.970511848169176,11.309814257451276,0.020579933531555492,0.0,0.020704611261626718,1.0,0.0,0.0,0.0
10,15.0,224047,219663,0.9804326770722215,219663,0.9804326770722215,0,0.0,1.321769442693752,11.322161824772657,11.569265056475748,0.06940508018406852,0.0,0.07045597862541235,1.0,0.0,0.0,0.0
20,25.0,163514,157141,0.9610247440586127,157141,0.9610247440586127,0,0.0,1.5453659330200726,11.598275960356018,11.814270577688736,0.07765695903714667,0.0,0.08061341772834454,1.0,0.0,0.0,0.0
30,35.0,154879,143745,0.9281116226215304,143745,0.9281116226215304,0,0.0,1.7669214100448674,11.850058736578958,12.04724385297358,0.08127635121611064,0.0,0.08841255771013684,1.0,0.0,0.0,0.0
40,45.0,154875,133686,0.8631864406779661,133686,0.8631864406779661,0,0.0,1.9929944910447674,12.083796616240667,12.269042518068018,0.1001452784503632,0.0,0.11939961166705058,1.0,0.0,0.0,0.0
50,55.0,147776,114901,0.7775349177132957,114901,0.7775349177132957,0,0.0,2.223875380504567,12.310342297046766,12.489703289808464,0.1533537245560849,0.0,0.1382633454617568,1.0,0.0,0.0,0.0
60,65.0,141574,94257,0.6657790272225126,94257,0.6657790272225126,0,0.0,2.463085576705027,12.525494526052746,12.697329083138424,0.18109963693898598,0.0,0.18040811454608482,1.0,0.0,0.0,0.0
70,75.0,146069,80452,0.5507807953775271,80452,0.5507807953775271,0,0.0,2.694312649029284,12.735749748511612,12.908512014575361,0.19120415693952858,0.0,0.19286810016581346,1.0,0.0,0.0,0.0
80,85.0,143073,63172,0.4415368378380267,63172,0.4415368378380267,0,0.0,2.9276603658848788,12.947279965071006,13.108062184798975,0.19394295219922697,0.0,0.19548020992515142,1.0,0.0,0.0,0.0
90,95.0,142359,48682,0.3419664369656994,48682,0.3419664369656994,0,0.0,3.1580781397811277,13.147385987030068,13.317529272989736,0.20885929235243295,0.0,0.2103936185542069,1.0,0.0,0.0,0.0
