u_bin_left,u_bin_center,n_total,n_success,pdr_band,pdr_phy_band,late_ratio_phy_band,delay_p95_band_ms,delay_p99_band_ms,mean_blockage_b
-0.25,-0.225,3111,676,0.21729347476695596,0.21729347476695596,0.0,3.1480317762446273,3.2995483960048007,0.01431106465136078
-0.2,-0.17500000000000002,2765,554,0.2003616636528029,0.2003616636528029,0.0,3.238149665775767,3.402397576291469,0.05219001777004122
-0.15000000000000002,-0.12500000000000003,2689,501,0.18631461509854966,0.18631461509854966,0.0,3.450341669784037,3.655202031392523,0.1301013903637002
-0.1,-0.07500000000000001,2121,389,0.1834040546911834,0.1834040546911834,0.0,3.9487471316726617,4.345142882623002,0.24339135402623935
-0.05,-0.025,20048,3061,0.15268355945730247,0.15268355945730247,0.0,4.108615336976056,4.601811576462232,0.33386421214901413
0.0,0.025,25333,3880,0.15315990999881576,0.15315990999881576,0.0,4.223925340105894,4.700814967640316,0.35012359652823755
0.05,0.07500000000000001,1596,247,0.15476190476190477,0.15476190476190477,0.0,4.309366490530618,4.799127263041176,0.3543767385986173
0.1,0.125,1372,174,0.12682215743440234,0.12682215743440234,0.0,4.040934512662281,4.734796513173636,0.3713087901274432
0.15000000000000002,0.17500000000000002,1187,157,0.13226621735467564,0.13226621735467564,0.0,4.293402773776572,4.642930709159519,0.407550279195233
0.2,0.225,1468,221,0.1505449591280654,0.1505449591280654,0.0,4.506050448607525,5.1210873686006835,0.46261132060718047
0.25,0.275,1109,120,0.10820559062218214,0.10820559062218214,0.0,5.055843740453432,5.758935628047242,0.5337508175406265
0.30000000000000004,0.32500000000000007,1540,178,0.11558441558441558,0.11558441558441558,0.0,5.252055947139105,5.824845102832412,0.6168955883554611
0.35000000000000003,0.37500000000000006,1266,120,0.0947867298578199,0.0947867298578199,0.0,5.279295760572928,5.87284267309849,0.696988329787525
0.4,0.42500000000000004,1013,97,0.09575518262586377,0.09575518262586377,0.0,5.747415355865249,6.529700516921536,0.7569809986679976
0.45,0.47500000000000003,1204,81,0.06727574750830564,0.06727574750830564,0.0,5.653931492246388,6.761043680274473,0.7924467572133959
0.5,0.525,1339,116,0.08663181478715459,0.08663181478715459,0.0,6.0019226693978975,7.888718066935178,0.7937439939154487
0.55,0.5750000000000001,26588,2375,0.08932601173461711,0.08932601173461711,0.0,5.711147714675129,6.766986200346106,0.7382881507701385
0.6000000000000001,0.6250000000000001,22162,2107,0.0950726468730259,0.0950726468730259,0.0,5.437255704432984,6.540673471084044,0.6981982554635449
0.65,0.675,28722,3005,0.1046236334517095,0.1046236334517095,0.0,5.301842918555842,6.3030714830651595,0.6531968931467871
0.7000000000000001,0.7250000000000001,2233,305,0.13658755038065382,0.13658755038065382,0.0,4.845652035871832,6.086740397245343,0.5376323326613688
0.75,0.775,2466,332,0.13463098134630982,0.13463098134630982,0.0,4.667388657751534,5.671621982902649,0.4631953966682647
0.8,0.8250000000000001,2668,335,0.12556221889055472,0.12556221889055472,0.0,4.30814276967533,5.121901901160209,0.40741882482387454
0.8500000000000001,0.8750000000000001,3181,450,0.141464948129519,0.141464948129519,0.0,4.3061148044868975,5.013407037964485,0.371671414745958
0.9,0.925,3529,514,0.14565032587135165,0.14565032587135165,0.0,4.08607705815504,4.621196003160389,0.3547549370292236
0.9500000000000001,0.9750000000000001,4963,750,0.15111827523675198,0.15111827523675198,0.0,4.158894895643482,4.601845146169414,0.3502547911567494
1.0,1.025,5921,931,0.15723695321736192,0.15723695321736192,0.0,4.037864548654135,4.558334768880828,0.3301025958000839
1.05,1.075,8101,1420,0.17528700160474014,0.17528700160474014,0.0,3.7622077628295436,4.009318857572491,0.24170608596857623
1.1,1.125,11975,2212,0.18471816283924844,0.18471816283924844,0.0,3.466276165916747,3.6749914064885303,0.12665658777372324
1.1500000000000001,1.175,17834,3481,0.19518896489850845,0.19518896489850845,0.0,3.24802151530724,3.413534429688479,0.04780212726649869
1.2000000000000002,1.225,13125,2707,0.20624761904761904,0.20624761904761904,0.0,3.192674458440925,3.342679456698294,0.02094062516564086
